disease	disease_diversity	disease_diversity_shannon	disease_betweenness	gene_diversity	gene_diversity_shannon	gene_betweenness
Lipodystrophy	171.1260734964995	5.785657538628648	0.003812455066922276	285.8206669285628	5.209771362419741	0.00930520229325786
Polycythemia	133.98076276917544	5.182796230254858	0.0003112720543551424	50.730005328402335	3.9557151261101127	0.00014718039213352827
Hypohidrosis	79.94348201546502	4.511102010066715	9.787392041091596e-05	49.789942054826895	3.709601179646437	0.00025070472481765146
Blepharophimosis	38.11753977170241	3.6716556010871804	3.4189284444024684e-06	17.843019512947585	2.8133554045006157	1.3656778656760793e-05
Asthma	156.07961411643822	5.326679308377623	0.003490018335269002	15.662350221712863	2.751666616931517	2.39876841099049e-06
Hypopituitarism	151.12391484000412	5.18328123771708	0.0002043138771938199	38.758956227354844	3.5849073770299476	0.00010600569871029226
Hypokalemia	152.28456043629336	5.3401419510249895	0.0006887059745887972	20.70059243822094	3.0445224377234217	1.49059028538612e-05
Amyloidosis	159.86659724540434	5.708868458611444	0.002515980661623596	26.410506405091542	3.2444926304072967	0.00016534248011546902
Arthritis	153.70512516564955	5.729627037166765	0.0015309817170907625	79.49429962988074	4.3051432596637875	0.00028794966231220987
Anemia	155.58095748111504	5.809044674553158	0.0030361297610673613	73.50021804442343	4.293753283237789	0.0005787926279519151
Citrullinemia	52.83599060296372	4.042695452970691	1.8599345961684487e-05	95.07542882828848	4.564290488361688	0.00035010950607192783
Piebaldism	94.80529109074882	4.688863634567518	4.028782417620778e-05	38.58099609844424	3.6834363243374386	0.00015235778118885781
Afibrinogenemia	76.99247712375191	4.514238174531797	0.0001485128007944071	63.36578950696327	3.9910405749842397	0.0021966015441105533
Hyperbilirubinemia	31.17299559817571	3.5143721800652226	7.206754059960168e-05	27.44375550439123	3.282693997278065	3.556734457947687e-05
Lymphoma	142.36478756106203	5.839959095242481	0.0032317921745546466	479.3423372812464	5.381503254584336	0.04445655517490387
Urticaria	103.64755390943398	4.839276023803724	0.00013838705083982374	27.44375550439123	3.282693997278065	3.556734457947687e-05
Adenocarcinoma	122.61296014607139	5.923835086958985	0.008051612180933563	479.3423372812464	5.381503254584336	0.04445655517490387
Melanoma	130.4694833833997	5.949352520870292	0.01113005266994261	570.5724945171072	5.381503254584336	0.04445655517490387
Proteinuria	77.91667193344655	4.579442755930152	7.175474479879903e-05	95.5685369912315	4.496627503348225	0.0004757964652545729
Appendicitis	42.17097091589321	3.7845576133379004	4.285207471812227e-06	90.65958656161482	4.33360976994684	0.00047069150246247297
Adrenoleukodystrophy	132.4526080852821	5.133073459175384	0.00028755312921419773	28.089299382031772	3.2716893223230317	2.6833024508332472e-05
Cholangiocarcinoma	77.2404473591115	4.455090116688132	3.096594431375472e-05	384.12124582753756	5.273629259035221	0.012188052018879814
Thrombocytopenia	129.65340665060637	5.106558350388849	0.0005526747140983152	200.1214027895021	5.202746000669274	0.002363077290949548
Alopecia	155.61079193411305	5.369434407004886	0.0018060146040797228	18.447515297994265	2.871476118054867	2.432115093969718e-05
Deafness	107.70713898961968	4.848810611743082	0.000698769942668993	200.1214027895021	5.202746000669274	0.002363077290949548
Rickets	129.82778256957315	5.0290518200826195	0.0003772366251189124	43.64329678913869	3.697914215767907	7.434368747522947e-05
Hematuria	58.586523957441294	4.243154604349487	8.700544772857652e-06	14.762549122732244	2.70805020110221	1.5929476126576384e-05
Hypophosphatasia	23.074238384298805	3.178053830347946	7.345401746983326e-07	26.307622797664934	3.1931483948102635	2.4578934905657272e-05
Enchondromatosis	31.868423350916267	3.5157396511717027	1.308668503910726e-05	37.93996788275714	3.6716556010871804	4.968819705225035e-05
Ataxia	72.35453942522096	4.31874595633196	6.45816797784352e-05	36.00436630036765	3.592469627610674	8.826286788606616e-05
Chordoma	1.0	0.0	0.0	119.49249884673364	4.502018836182183	0.0014921510247081196
Nephrocalcinosis	18.349443915349703	3.0445224377234217	6.145868745809535e-06	40.46714365290513	3.5677636932117194	7.239522574867022e-05
Nephrolithiasis	20.708335400954315	3.120291565301284	1.0400033723415055e-05	40.46714365290513	3.5677636932117194	7.272235868726919e-05
Hemiplegia	33.98592877192574	3.5734504974788237	3.5221667519396955e-06	57.87038696888543	3.9517909047005344	0.00046723947663872923
