layer	nodes	edges	min	max	mean	median	p95
symptom_projection	4218	7397211	4.154842503378831e-08	1.0	0.07579309385351132	0.0339056368458008	0.29394664600395015
sgpdn_edges	785	22002	9.157720931129988e-06	0.99884397593565	0.13104167593701985	0.0748864200787652	0.4639015058169247
sgpdn_backbone	618	1722	0.0002090779865696	0.99884397593565	0.46660444533075085	0.44078506527498484	0.8600585791236963
hpo_projection	1655	15907	20.0	127.0	24.29578173131326	22.0	35.0
hpo_backbone	1096	2569	20.0	127.0	33.2483456597898	32.0	48.0
