Network	Nodes	Edges	Density	Avg Degree	Avg Weight	Median Weight	Weight Std	Connected Components	Largest CC Size	Avg Clustering
Original	1035	2199	0.004109550640540464	4.249275362318841	0.7758825830593962	0.7765049035078824	0.12519557726937136	63	791	0.3892476657297659
Consensus GenePPI	701	3121	0.012720603219889954	8.904422253922966	0.4076419653348083	0.379988995826428	0.2000999110333096	16	667	0.27314229390204203
